experiment,condition,input_size,obstacle_prob,n,time_mean,time_std,time_ci95,nodes_mean,nodes_std,nodes_ci95,path_len_mean,path_len_std,path_len_ci95,heur_evals_mean,heur_evals_std,heur_evals_ci95,tie_breaks_mean,tie_breaks_std,tie_breaks_ci95,time_improvement_pct,nodes_improvement_pct
exp1_baseline_vs_enhanced,baseline_astar,40,0.22,30,0.0008600511666666755,0.0004613649211436252,0.0001650973167072777,184.0,101.05136966090478,36.160768224979535,78.26666666666667,0.6914918072835204,0.24744716530374353,299.8666666666667,148.68497902782832,53.20623642413975,295.46666666666664,148.79695337382864,53.24630592924838,0.0,0.0
exp1_baseline_vs_enhanced,enhanced_combo,40,0.22,30,0.0006110486333333405,5.4997525591043434e-05,1.9680611777145657e-05,89.3,10.821912636103114,3.872571701880663,78.46666666666667,1.0080138659874618,0.3607131293504906,157.93333333333334,13.434216051543174,4.807372473567745,16.233333333333334,3.4708970651377156,1.2420445633382111,28.9520604103592,51.46739130434783
exp2_scaling,baseline_astar,20,0.22,30,0.00025868063333334135,7.228806288657724e-05,2.586795108513584e-05,57.666666666666664,16.486846028092305,5.8997420815110635,38.0,0.0,0.0,96.2,25.376339781175204,9.080806567042709,92.4,25.793075788294228,9.229933631970207,0.0,0.0
exp2_scaling,enhanced_combo,20,0.22,30,0.0003004792000000108,4.449396594147258e-05,1.5921961228420596e-05,46.333333333333336,8.23505263820596,2.946875740229385,39.06666666666667,2.0160277319749236,0.7214262587009812,77.73333333333333,9.224903824686338,3.301089438189641,7.5,2.725992384941422,0.9754838469355523,-16.158367222182772,19.653179190751437
exp2_scaling,baseline_astar,40,0.22,30,0.0007784929666666588,0.00021117157666324611,7.556677821436239e-05,167.8,48.72824005964452,17.437176761886867,78.0,0.0,0.0,277.8333333333333,68.57268146775478,24.53841891942376,274.23333333333335,68.47032245777191,24.501790218119172,0.0,0.0
exp2_scaling,enhanced_combo,40,0.22,30,0.0006590180333333288,0.00010975739730359582,3.927618020607427e-05,97.26666666666667,20.832556307348614,7.454834533087157,79.93333333333334,2.318342650187448,0.8296082628155295,167.53333333333333,23.06771640691564,8.25467630245048,15.933333333333334,4.201258705750418,1.5034011198622494,15.346950897308204,42.0341676599126
exp2_scaling,baseline_astar,60,0.22,30,0.0017594095666666587,0.0011945861428502632,0.00042747716118382285,374.53333333333336,258.40915609556674,92.4705289214848,118.06666666666666,0.3651483716701107,0.13066666666666665,605.5,377.12457925181974,134.95229750996606,601.7,376.7901775936237,134.83263341341146,0.0,0.0
exp2_scaling,enhanced_combo,60,0.22,30,0.0009536653666666858,8.124104576547991e-05,2.9071734862561095e-05,137.1,14.601251717717146,5.224990823288426,119.2,1.7888543819998324,0.6401333194473374,241.73333333333332,19.201173335795506,6.871051634166852,23.5,5.296387838700168,1.8952880471340487,45.79628389349498,63.394446422214315
exp2_scaling,baseline_astar,80,0.22,30,0.002708259700000015,0.0008763296704895572,0.0003135905451809572,573.4,182.83827411884693,65.42783611200089,158.06666666666666,0.3651483716701107,0.13066666666666665,921.9,284.5957023447533,101.84126414958821,918.2333333333333,284.6410544616807,101.8574931962031,0.0,0.0
exp2_scaling,enhanced_combo,80,0.22,30,0.0013381334000000114,8.864391378511483e-05,3.172081716155836e-05,182.6,15.117014848541842,5.4095542893287805,160.2,2.369344445927665,0.8478590210289855,329.46666666666664,21.902185898362674,7.837596566467128,29.833333333333332,5.571375941817018,1.9936912760541834,50.590654212371,68.15486571328914
