experiment,condition,algorithm,input_size,obstacle_prob,execution_time,nodes_expanded,path_length,heuristic_evals,heuristic_calls,tie_breaks,run_id,seed,heuristic,alpha,weight,use_memoization,use_dynamic_weight,use_tiebreaking,use_density_adaptive,density_low_threshold,density_threshold,mid_density_weight,high_density_weight,density_weight_cap,found,attempt,obstacle_density,effective_algorithm,effective_weight,shared_instance_id,unsolved
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0012007500000000837,222,80,348,348,344,0,11337,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.22625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0007190000000000252,148,78,254,254,251,1,11338,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.21875,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0006736659999999617,145,78,242,242,237,2,11339,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.225625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.00044587499999992897,94,80,161,161,151,3,11340,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.23125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.000702290999999966,150,78,242,242,239,4,11341,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.22625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0006066659999999224,126,78,222,222,218,5,11342,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.210625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0009764580000000134,212,78,353,353,349,6,11343,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.206875,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0016386250000000047,359,78,556,556,553,7,11344,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.23125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0015007500000000507,326,78,503,503,500,8,11345,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.23125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0017840829999999919,397,80,582,582,573,9,11346,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.234375,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.00047054200000007373,99,78,181,181,178,10,11347,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.20625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0006937500000000485,144,78,248,248,245,11,11348,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.22,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0005463330000000655,115,78,201,201,198,12,11349,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,3,0.208125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0005447910000000444,114,78,201,201,197,13,11350,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.223125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.000905625000000021,192,78,310,310,305,14,11351,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.220625,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0012393330000000091,262,78,428,428,425,15,11352,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.214375,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0006459169999999403,140,78,233,233,228,16,11353,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,1,0.223125,astar,1.5,,
exp1_baseline_vs_enhanced,baseline_astar,astar,40,0.22,0.0017728329999999737,382,78,602,602,597,17,11354,manhattan,0.7,1.5,0,0,0,0,0.2,0.35,1.6,2.2,2.5,1,2,0.21125,astar,1.5,,
